LAT,LON,SID,USA_WIND,CATEGORY,NSEC_TIME,ISO_TIME
29.729,139.7,1998243N23122,30.0,TD,904845600000000000,1998-09-03 18:00:00
29.995,140.276,1998243N23122,30.0,TD,904856400000000000,1998-09-03 21:00:00
30.26,140.82,1998243N23122,30.0,TD,904867200000000000,1998-09-04 00:00:00
30.522,141.35,1998243N23122,30.0,TD,904878000000000000,1998-09-04 03:00:00
30.6,141.8,1998243N23122,30.0,TD,904888800000000000,1998-09-04 06:00:00
30.595,142.257,1998243N23122,30.0,TD,904899600000000000,1998-09-04 09:00:00
30.5,142.7,1998243N23122,30.0,TD,904910400000000000,1998-09-04 12:00:00
30.33,143.107,1998243N23122,30.0,TD,904921200000000000,1998-09-04 15:00:00
30.1,143.5,1998243N23122,30.0,TD,904932000000000000,1998-09-04 18:00:00
29.865,143.9,1998243N23122,30.0,TD,904942800000000000,1998-09-04 21:00:00
29.6,144.3,1998243N23122,30.0,TD,904953600000000000,1998-09-05 00:00:00
29.307,144.707,1998243N23122,30.0,TD,904964400000000000,1998-09-05 03:00:00
20.38,142.811,1998253N17150,30.0,TD,905634000000000000,1998-09-12 21:00:00
20.85,142.4,1998253N17150,30.0,TD,905644800000000000,1998-09-13 00:00:00
21.283,141.978,1998253N17150,32.0,TD,905655600000000000,1998-09-13 03:00:00
21.675,141.6,1998253N17150,35.0,TS,905666400000000000,1998-09-13 06:00:00
22.015,141.314,1998253N17150,40.0,TS,905677200000000000,1998-09-13 09:00:00
22.325,141.1,1998253N17150,45.0,TS,905688000000000000,1998-09-13 12:00:00
22.609,140.965,1998253N17150,45.0,TS,905698800000000000,1998-09-13 15:00:00
22.95,140.775,1998253N17150,45.0,TS,905709600000000000,1998-09-13 18:00:00
23.418,140.377,1998253N17150,50.0,TS,905720400000000000,1998-09-13 21:00:00
23.975,139.9,1998253N17150,55.0,TS,905731200000000000,1998-09-14 00:00:00
24.597,139.469,1998253N17150,55.0,TS,905742000000000000,1998-09-14 03:00:00
25.2,139.05,1998253N17150,55.0,TS,905752800000000000,1998-09-14 06:00:00
25.674,138.635,1998253N17150,57.0,TS,905763600000000000,1998-09-14 09:00:00
26.1,138.25,1998253N17150,60.0,TS,905774400000000000,1998-09-14 12:00:00
26.527,137.906,1998253N17150,62.0,TS,905785200000000000,1998-09-14 15:00:00
27.0,137.6,1998253N17150,65.0,1,905796000000000000,1998-09-14 18:00:00
27.544,137.308,1998253N17150,65.0,1,905806800000000000,1998-09-14 21:00:00
28.2,137.05,1998253N17150,65.0,1,905817600000000000,1998-09-15 00:00:00
28.965,136.777,1998253N17150,65.0,1,905828400000000000,1998-09-15 03:00:00
29.85,136.625,1998253N17150,65.0,1,905839200000000000,1998-09-15 06:00:00
30.815,136.656,1998253N17150,65.0,1,905850000000000000,1998-09-15 09:00:00
31.775,136.95,1998253N17150,65.0,1,905860800000000000,1998-09-15 12:00:00
32.804,137.435,1998253N17150,65.0,1,905871600000000000,1998-09-15 15:00:00
33.925,138.05,1998253N17150,65.0,1,905882400000000000,1998-09-15 18:00:00
34.274,138.266,1998253N17150,65.0,1,905886000000000000,1998-09-15 19:00:00
34.945,138.728,1998253N17150,65.0,1,905893200000000000,1998-09-15 21:00:00
36.175,139.725,1998253N17150,65.0,1,905904000000000000,1998-09-16 00:00:00
38.143,140.576,1998253N17150,62.0,TS,905914800000000000,1998-09-16 03:00:00
20.007,129.08,1998258N19126,32.0,TD,905850000000000000,1998-09-15 09:00:00
20.18,129.38,1998258N19126,35.0,TS,905860800000000000,1998-09-15 12:00:00
20.303,129.688,1998258N19126,37.0,TS,905871600000000000,1998-09-15 15:00:00
20.45,130.05,1998258N19126,40.0,TS,905882400000000000,1998-09-15 18:00:00
20.618,130.515,1998258N19126,42.0,TS,905893200000000000,1998-09-15 21:00:00
20.775,130.992,1998258N19126,45.0,TS,905904000000000000,1998-09-16 00:00:00
20.886,131.415,1998258N19126,47.0,TS,905914800000000000,1998-09-16 03:00:00
20.993,131.833,1998258N19126,50.0,TS,905925600000000000,1998-09-16 06:00:00
21.112,132.278,1998258N19126,57.0,TS,905936400000000000,1998-09-16 09:00:00
21.25,132.7,1998258N19126,65.0,1,905947200000000000,1998-09-16 12:00:00
21.411,133.042,1998258N19126,77.0,1,905958000000000000,1998-09-16 15:00:00
21.625,133.375,1998258N19126,90.0,2,905968800000000000,1998-09-16 18:00:00
21.878,133.804,1998258N19126,105.0,3,905979600000000000,1998-09-16 21:00:00
22.225,134.2,1998258N19126,120.0,4,905990400000000000,1998-09-17 00:00:00
22.659,134.472,1998258N19126,125.0,4,906001200000000000,1998-09-17 03:00:00
23.225,134.65,1998258N19126,130.0,4,906012000000000000,1998-09-17 06:00:00
23.902,134.82,1998258N19126,125.0,4,906022800000000000,1998-09-17 09:00:00
24.7,134.85,1998258N19126,120.0,4,906033600000000000,1998-09-17 12:00:00
25.553,134.708,1998258N19126,110.0,3,906044400000000000,1998-09-17 15:00:00
26.5,134.35,1998258N19126,100.0,3,906055200000000000,1998-09-17 18:00:00
27.591,133.841,1998258N19126,90.0,2,906066000000000000,1998-09-17 21:00:00
28.6,133.1,1998258N19126,80.0,1,906076800000000000,1998-09-18 00:00:00
29.33,132.164,1998258N19126,75.0,1,906087600000000000,1998-09-18 03:00:00
29.8,131.025,1998258N19126,70.0,1,906098400000000000,1998-09-18 06:00:00
29.981,130.054,1998258N19126,67.0,1,906109200000000000,1998-09-18 09:00:00
30.05,129.075,1998258N19126,65.0,1,906120000000000000,1998-09-18 12:00:00
30.072,128.073,1998258N19126,65.0,1,906130800000000000,1998-09-18 15:00:00
30.075,127.175,1998258N19126,65.0,1,906141600000000000,1998-09-18 18:00:00
30.072,126.457,1998258N19126,62.0,TS,906152400000000000,1998-09-18 21:00:00
30.075,125.75,1998258N19126,60.0,TS,906163200000000000,1998-09-19 00:00:00
30.114,124.782,1998258N19126,57.0,TS,906174000000000000,1998-09-19 03:00:00
30.125,123.85,1998258N19126,55.0,TS,906184800000000000,1998-09-19 06:00:00
30.052,123.193,1998258N19126,55.0,TS,906195600000000000,1998-09-19 09:00:00
29.95,122.675,1998258N19126,55.0,TS,906206400000000000,1998-09-19 12:00:00
